rok,obec,scenar_id,scenar_nazev,pocet_domacnosti,spotreba_MWh_rok,podil_vhodnych_strech_procent,instalovany_vykon_kWp,baterie_kapacita_kWh,vodik_ano_ne,sobestacnost_procent,riziko_nestability_0_100,uspora_kc_domacnost_rok,co2_uspory_t_rok
2028,Dolni_Jiretin,S03,Úspory bez výroby,60,158.2,43.8,22.0,50.0,0,10.5,5,19.0,9.7
2029,Dolni_Jiretin,S03,Úspory bez výroby,60,157.4,43.8,22.0,50.0,0,10.6,5,19.0,9.7
2030,Dolni_Jiretin,S03,Úspory bez výroby,60,156.6,43.8,22.0,50.0,0,10.6,5,19.0,9.7
2031,Dolni_Jiretin,S03,Úspory bez výroby,60,155.8,43.8,22.0,50.0,0,10.7,5,19.0,9.7
2032,Dolni_Jiretin,S03,Úspory bez výroby,60,155.0,43.8,22.0,50.0,0,10.7,5,19.0,9.7
2033,Dolni_Jiretin,S03,Úspory bez výroby,60,154.2,43.8,22.0,50.0,0,10.8,5,19.0,9.7
2034,Dolni_Jiretin,S03,Úspory bez výroby,60,153.4,43.8,22.0,50.0,0,10.8,5,19.0,9.7
2035,Dolni_Jiretin,S03,Úspory bez výroby,60,152.6,43.8,22.0,50.0,0,10.9,5,19.0,9.7
2026,Most,S04,Komunitní FVE + ES + smart metr,450,1432.8,44.2,351.7,17.0,0,8.2,35.9,18.0,155.1
2027,Most,S04,Komunitní FVE + ES + smart metr,450,1425.6,45.1,518.3,33.0,0,12.7,43.9,27.0,228.6
2028,Most,S04,Komunitní FVE + ES + smart metr,450,1418.4,45.9,685.0,50.0,0,17.7,51.8,38.0,302.1
2029,Most,S04,Komunitní FVE + ES + smart metr,450,1411.2,45.9,685.0,50.0,0,17.8,52.0,38.0,302.1
2030,Most,S04,Komunitní FVE + ES + smart metr,450,1404.0,45.9,685.0,50.0,0,17.9,52.1,38.0,302.1
2031,Most,S04,Komunitní FVE + ES + smart metr,450,1396.8,45.9,685.0,50.0,0,18.0,52.3,38.0,302.1
2032,Most,S04,Komunitní FVE + ES + smart metr,450,1389.6,45.9,685.0,50.0,0,18.1,52.5,38.0,302.1
2033,Most,S04,Komunitní FVE + ES + smart metr,450,1382.4,45.9,685.0,50.0,0,18.2,52.7,38.0,302.1
2034,Most,S04,Komunitní FVE + ES + smart metr,450,1375.2,45.9,685.0,50.0,0,18.4,52.9,38.0,302.1
2035,Most,S04,Komunitní FVE + ES + smart metr,450,1368.0,45.9,685.0,50.0,0,18.5,53.0,38.0,302.1
2026,Litomerice,S04,Komunitní FVE + ES + smart metr,280,835.8,56.0,264.7,17.0,0,10.9,40.5,22.0,116.7
2027,Litomerice,S04,Komunitní FVE + ES + smart metr,280,831.6,56.9,431.3,33.0,0,19.4,54.1,39.0,190.2
2028,Litomerice,S04,Komunitní FVE + ES + smart metr,280,827.4,57.7,598.0,50.0,0,29.2,67.7,59.0,263.7
2029,Litomerice,S04,Komunitní FVE + ES + smart metr,280,823.2,57.7,598.0,50.0,0,29.4,67.9,59.0,263.7
2030,Litomerice,S04,Komunitní FVE + ES + smart metr,280,819.0,57.7,598.0,50.0,0,29.6,68.2,59.0,263.7
2031,Litomerice,S04,Komunitní FVE + ES + smart metr,280,814.8,57.7,598.0,50.0,0,29.7,68.4,59.0,263.7
2032,Litomerice,S04,Komunitní FVE + ES + smart metr,280,810.6,57.7,598.0,50.0,0,29.9,68.7,59.0,263.7
2033,Litomerice,S04,Komunitní FVE + ES + smart metr,280,806.4,57.7,598.0,50.0,0,30.1,69.0,59.0,263.7
2034,Litomerice,S04,Komunitní FVE + ES + smart metr,280,802.2,57.7,598.0,50.0,0,30.3,69.2,59.0,263.7
2035,Litomerice,S04,Komunitní FVE + ES + smart metr,280,798.0,57.7,598.0,50.0,0,30.5,69.5,59.0,263.7
2026,Zatec,S04,Komunitní FVE + ES + smart metr,200,597.0,58.6,238.7,17.0,0,14.3,46.1,29.0,105.3
2027,Zatec,S04,Komunitní FVE + ES + smart metr,200,594.0,59.5,405.3,33.0,0,27.1,65.1,55.0,178.7
2028,Zatec,S04,Komunitní FVE + ES + smart metr,200,591.0,60.3,572.0,50.0,0,42.5,84.1,85.0,252.3
2029,Zatec,S04,Komunitní FVE + ES + smart metr,200,588.0,60.3,572.0,50.0,0,42.8,84.4,86.0,252.3
2030,Zatec,S04,Komunitní FVE + ES + smart metr,200,585.0,60.3,572.0,50.0,0,43.1,84.7,86.0,252.3
2031,Zatec,S04,Komunitní FVE + ES + smart metr,200,582.0,60.3,572.0,50.0,0,43.4,85.1,86.0,252.3
2032,Zatec,S04,Komunitní FVE + ES + smart metr,200,579.0,60.3,572.0,50.0,0,43.7,85.4,86.0,252.3
2033,Zatec,S04,Komunitní FVE + ES + smart metr,200,576.0,60.3,572.0,50.0,0,44.0,85.8,86.0,252.3
2034,Zatec,S04,Komunitní FVE + ES + smart metr,200,573.0,60.3,572.0,50.0,0,44.2,86.1,86.0,252.3
2035,Zatec,S04,Komunitní FVE + ES + smart metr,200,570.0,60.3,572.0,50.0,0,44.6,86.5,86.0,252.3
2026,Bilina,S04,Komunitní FVE + ES + smart metr,150,447.8,50.6,221.7,17.0,0,18.4,52.4,37.0,97.8
2027,Bilina,S04,Komunitní FVE + ES + smart metr,150,445.5,51.5,388.3,33.0,0,36.9,77.8,75.0,171.2
2028,Bilina,S04,Komunitní FVE + ES + smart metr,150,443.2,52.3,555.0,50.0,0,60.2,88,121.0,244.8
2029,Bilina,S04,Komunitní FVE + ES + smart metr,150,441.0,52.3,555.0,50.0,0,60.6,88,121.0,244.8
2030,Bilina,S04,Komunitní FVE + ES + smart metr,150,438.8,52.3,555.0,50.0,0,61.0,88,121.0,244.8
2031,Bilina,S04,Komunitní FVE + ES + smart metr,150,436.5,52.3,555.0,50.0,0,61.5,88,122.0,244.8
2032,Bilina,S04,Komunitní FVE + ES + smart metr,150,434.2,52.3,555.0,50.0,0,61.9,88,122.0,244.8
2033,Bilina,S04,Komunitní FVE + ES + smart metr,150,432.0,52.3,555.0,50.0,0,62.3,88,122.0,244.8
2034,Bilina,S04,Komunitní FVE + ES + smart metr,150,429.8,52.3,555.0,50.0,0,62.8,88,122.0,244.8
2035,Bilina,S04,Komunitní FVE + ES + smart metr,150,427.5,52.3,555.0,50.0,0,63.2,88,122.0,244.8
2026,Vejprty,S04,Komunitní FVE + ES + smart metr,80,238.8,59.6,198.7,17.0,0,34.9,75.0,71.0,87.6
2027,Vejprty,S04,Komunitní FVE + ES + smart metr,80,237.6,60.5,365.3,33.0,0,79.8,88,161.0,161.1
2028,Vejprty,S04,Komunitní FVE + ES + smart metr,80,236.4,61.3,532.0,50.0,0,95,88,191.0,234.6
2029,Vejprty,S04,Komunitní FVE + ES + smart metr,80,235.2,61.3,532.0,50.0,0,95,88,190.0,234.6
2030,Vejprty,S04,Komunitní FVE + ES + smart metr,80,234.0,61.3,532.0,50.0,0,95,88,189.0,234.6
2031,Vejprty,S04,Komunitní FVE + ES + smart metr,80,232.8,61.3,532.0,50.0,0,95,88,188.0,234.6
2032,Vejprty,S04,Komunitní FVE + ES + smart metr,80,231.6,61.3,532.0,50.0,0,95,88,187.0,234.6
2033,Vejprty,S04,Komunitní FVE + ES + smart metr,80,230.4,61.3,532.0,50.0,0,95,88,186.0,234.6
2034,Vejprty,S04,Komunitní FVE + ES + smart metr,80,229.2,61.3,532.0,50.0,0,95,88,185.0,234.6
2035,Vejprty,S04,Komunitní FVE + ES + smart metr,80,228.0,61.3,532.0,50.0,0,95,88,184.0,234.6
2026,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,179.1,44.6,188.7,17.0,0,47.9,88,97.0,83.2
2027,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,178.2,45.5,355.3,33.0,0,95,88,192.0,156.7
2028,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,177.3,46.3,522.0,50.0,0,95,88,191.0,230.2
2029,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,176.4,46.3,522.0,50.0,0,95,88,190.0,230.2
2030,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,175.5,46.3,522.0,50.0,0,95,88,189.0,230.2
2031,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,174.6,46.3,522.0,50.0,0,95,88,188.0,230.2
2032,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,173.7,46.3,522.0,50.0,0,95,88,187.0,230.2
2033,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,172.8,46.3,522.0,50.0,0,95,88,186.0,230.2
2034,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,171.9,46.3,522.0,50.0,0,95,88,185.0,230.2
2035,Dolni_Jiretin,S04,Komunitní FVE + ES + smart metr,60,171.0,46.3,522.0,50.0,0,95,88,184.0,230.2
2026,Most,S05,Velká FVE + velká baterie + úspory,450,1239.1,44.2,351.7,667.0,0,21.5,5,40.0,155.1
2027,Most,S05,Velká FVE + velká baterie + úspory,450,1232.9,45.1,518.3,1333.0,0,31.8,5,59.0,228.6
2028,Most,S05,Velká FVE + velká baterie + úspory,450,1226.6,45.9,685.0,2000.0,0,42.2,5,78.0,302.1
2029,Most,S05,Velká FVE + velká baterie + úspory,450,1220.4,45.9,685.0,2000.0,0,42.4,5,78.0,302.1
2030,Most,S05,Velká FVE + velká baterie + úspory,450,1214.2,45.9,685.0,2000.0,0,42.7,5,78.0,302.1
2031,Most,S05,Velká FVE + velká baterie + úspory,450,1208.0,45.9,685.0,2000.0,0,42.9,5,78.0,302.1
2032,Most,S05,Velká FVE + velká baterie + úspory,450,1201.7,45.9,685.0,2000.0,0,43.1,5,78.0,302.1
2033,Most,S05,Velká FVE + velká baterie + úspory,450,1195.5,45.9,685.0,2000.0,0,43.3,5,78.0,302.1
2034,Most,S05,Velká FVE + velká baterie + úspory,450,1189.3,45.9,685.0,2000.0,0,43.5,5,78.0,302.1
2035,Most,S05,Velká FVE + velká baterie + úspory,450,1183.0,45.9,685.0,2000.0,0,43.8,5,78.0,302.1
2026,Litomerice,S05,Velká FVE + velká baterie + úspory,280,722.8,56.0,264.7,667.0,0,27.7,5,49.0,116.7
2027,Litomerice,S05,Velká FVE + velká baterie + úspory,280,719.2,56.9,431.3,1333.0,0,45.3,5,79.0,190.2
2028,Litomerice,S05,Velká FVE + velká baterie + úspory,280,715.5,57.7,598.0,2000.0,0,63.2,5,110.0,263.7
2029,Litomerice,S05,Velká FVE + velká baterie + úspory,280,711.9,57.7,598.0,2000.0,0,63.5,5,110.0,263.7
2030,Litomerice,S05,Velká FVE + velká baterie + úspory,280,708.3,57.7,598.0,2000.0,0,63.8,5,110.0,263.7
2031,Litomerice,S05,Velká FVE + velká baterie + úspory,280,704.6,57.7,598.0,2000.0,0,64.2,5,110.0,263.7
2032,Litomerice,S05,Velká FVE + velká baterie + úspory,280,701.0,57.7,598.0,2000.0,0,64.5,5,110.0,263.7
2033,Litomerice,S05,Velká FVE + velká baterie + úspory,280,697.4,57.7,598.0,2000.0,0,64.8,5,110.0,263.7
2034,Litomerice,S05,Velká FVE + velká baterie + úspory,280,693.7,57.7,598.0,2000.0,0,65.2,5,110.0,263.7
2035,Litomerice,S05,Velká FVE + velká baterie + úspory,280,690.1,57.7,598.0,2000.0,0,65.5,5,110.0,263.7
2026,Zatec,S05,Velká FVE + velká baterie + úspory,200,516.3,58.6,238.7,667.0,0,35.0,5,61.0,105.3
2027,Zatec,S05,Velká FVE + velká baterie + úspory,200,513.7,59.5,405.3,1333.0,0,59.6,5,104.0,178.7
2028,Zatec,S05,Velká FVE + velká baterie + úspory,200,511.1,60.3,572.0,2000.0,0,84.6,5,147.0,252.3
2029,Zatec,S05,Velká FVE + velká baterie + úspory,200,508.5,60.3,572.0,2000.0,0,85.0,5,147.0,252.3
2030,Zatec,S05,Velká FVE + velká baterie + úspory,200,505.9,60.3,572.0,2000.0,0,85.5,5,147.0,252.3
2031,Zatec,S05,Velká FVE + velká baterie + úspory,200,503.3,60.3,572.0,2000.0,0,85.9,5,147.0,252.3
2032,Zatec,S05,Velká FVE + velká baterie + úspory,200,500.7,60.3,572.0,2000.0,0,86.4,5,147.0,252.3
2033,Zatec,S05,Velká FVE + velká baterie + úspory,200,498.1,60.3,572.0,2000.0,0,86.8,5,147.0,252.3
2034,Zatec,S05,Velká FVE + velká baterie + úspory,200,495.5,60.3,572.0,2000.0,0,87.3,5,147.0,252.3
2035,Zatec,S05,Velká FVE + velká baterie + úspory,200,492.9,60.3,572.0,2000.0,0,87.7,5,147.0,252.3
2026,Bilina,S05,Velká FVE + velká baterie + úspory,150,387.2,50.6,221.7,667.0,0,43.3,5,76.0,97.8
2027,Bilina,S05,Velká FVE + velká baterie + úspory,150,385.3,51.5,388.3,1333.0,0,76.2,5,133.0,171.2
2028,Bilina,S05,Velká FVE + velká baterie + úspory,150,383.3,52.3,555.0,2000.0,0,95,5,165.0,244.8
2029,Bilina,S05,Velká FVE + velká baterie + úspory,150,381.4,52.3,555.0,2000.0,0,95,5,164.0,244.8
2030,Bilina,S05,Velká FVE + velká baterie + úspory,150,379.4,52.3,555.0,2000.0,0,95,5,163.0,244.8
2031,Bilina,S05,Velká FVE + velká baterie + úspory,150,377.5,52.3,555.0,2000.0,0,95,5,163.0,244.8
2032,Bilina,S05,Velká FVE + velká baterie + úspory,150,375.5,52.3,555.0,2000.0,0,95,5,162.0,244.8
2033,Bilina,S05,Velká FVE + velká baterie + úspory,150,373.6,52.3,555.0,2000.0,0,95,5,161.0,244.8
2034,Bilina,S05,Velká FVE + velká baterie + úspory,150,371.6,52.3,555.0,2000.0,0,95,5,160.0,244.8
2035,Bilina,S05,Velká FVE + velká baterie + úspory,150,369.7,52.3,555.0,2000.0,0,95,5,159.0,244.8
2026,Vejprty,S05,Velká FVE + velká baterie + úspory,80,206.5,59.6,198.7,667.0,0,72.7,5,128.0,87.6
2027,Vejprty,S05,Velká FVE + velká baterie + úspory,80,205.5,60.5,365.3,1333.0,0,95,5,166.0,161.1
2028,Vejprty,S05,Velká FVE + velká baterie + úspory,80,204.4,61.3,532.0,2000.0,0,95,5,165.0,234.6
2029,Vejprty,S05,Velká FVE + velká baterie + úspory,80,203.4,61.3,532.0,2000.0,0,95,5,164.0,234.6
2030,Vejprty,S05,Velká FVE + velká baterie + úspory,80,202.4,61.3,532.0,2000.0,0,95,5,163.0,234.6
2031,Vejprty,S05,Velká FVE + velká baterie + úspory,80,201.3,61.3,532.0,2000.0,0,95,5,163.0,234.6
2032,Vejprty,S05,Velká FVE + velká baterie + úspory,80,200.3,61.3,532.0,2000.0,0,95,5,162.0,234.6
2033,Vejprty,S05,Velká FVE + velká baterie + úspory,80,199.2,61.3,532.0,2000.0,0,95,5,161.0,234.6
2034,Vejprty,S05,Velká FVE + velká baterie + úspory,80,198.2,61.3,532.0,2000.0,0,95,5,160.0,234.6
2035,Vejprty,S05,Velká FVE + velká baterie + úspory,80,197.2,61.3,532.0,2000.0,0,95,5,159.0,234.6
2026,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,154.9,44.6,188.7,667.0,0,92.1,5,162.0,83.2
2027,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,154.1,45.5,355.3,1333.0,0,95,5,166.0,156.7
2028,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,153.3,46.3,522.0,2000.0,0,95,5,165.0,230.2
2029,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,152.6,46.3,522.0,2000.0,0,95,5,164.0,230.2
2030,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,151.8,46.3,522.0,2000.0,0,95,5,163.0,230.2
2031,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,151.0,46.3,522.0,2000.0,0,95,5,163.0,230.2
2032,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,150.2,46.3,522.0,2000.0,0,95,5,162.0,230.2
2033,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,149.4,46.3,522.0,2000.0,0,95,5,161.0,230.2
2034,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,148.7,46.3,522.0,2000.0,0,95,5,160.0,230.2
2035,Dolni_Jiretin,S05,Velká FVE + velká baterie + úspory,60,147.9,46.3,522.0,2000.0,0,95,5,159.0,230.2
2026,Most,S06,Vodíková vize 2035,450,1318.2,43.8,310.0,31.0,0,8.2,33.7,16.0,136.7
2027,Most,S06,Vodíková vize 2035,450,1311.6,44.1,435.0,62.0,0,12.8,38.4,25.0,191.8
2028,Most,S06,Vodíková vize 2035,450,1304.9,44.5,560.0,94.0,0,18.1,43.2,36.0,247.0
2029,Most,S06,Vodíková vize 2035,450,1298.3,44.9,685.0,125.0,0,24.1,48.0,47.0,302.1
2030,Most,S06,Vodíková vize 2035,450,1291.7,45.3,810.0,156.0,0,30.9,52.9,60.0,357.2
2031,Most,S06,Vodíková vize 2035,450,1285.1,45.6,935.0,188.0,0,38.6,57.7,75.0,412.3
2032,Most,S06,Vodíková vize 2035,450,1278.4,46.0,1060.0,219.0,0,47.0,62.7,91.0,467.5
2033,Most,S06,Vodíková vize 2035,450,1271.8,46.4,1185.0,250.0,1,66.3,45.8,127.0,522.6
2034,Most,S06,Vodíková vize 2035,450,1265.2,46.4,1185.0,250.0,1,66.7,46.0,128.0,522.6
2035,Most,S06,Vodíková vize 2035,450,1258.6,46.4,1185.0,250.0,1,67.1,46.3,128.0,522.6
2026,Litomerice,S06,Vodíková vize 2035,280,768.9,55.6,223.0,31.0,0,10.9,36.0,20.0,98.3
2027,Litomerice,S06,Vodíková vize 2035,280,765.1,56.0,348.0,62.0,0,19.7,44.1,37.0,153.5
2028,Litomerice,S06,Vodíková vize 2035,280,761.2,56.3,473.0,94.0,0,30.9,52.1,57.0,208.6
2029,Litomerice,S06,Vodíková vize 2035,280,757.3,56.7,598.0,125.0,0,44.0,60.4,81.0,263.7
2030,Litomerice,S06,Vodíková vize 2035,280,753.5,57.1,723.0,156.0,0,59.4,68.7,109.0,318.8
2031,Litomerice,S06,Vodíková vize 2035,280,749.6,57.5,848.0,188.0,0,77.3,77.0,141.0,374.0
2032,Litomerice,S06,Vodíková vize 2035,280,745.8,57.8,973.0,219.0,0,95,85.5,172.0,429.1
2033,Litomerice,S06,Vodíková vize 2035,280,741.9,58.2,1098.0,250.0,1,95,72.1,171.0,484.2
2034,Litomerice,S06,Vodíková vize 2035,280,738.0,58.2,1098.0,250.0,1,95,72.5,170.0,484.2
2035,Litomerice,S06,Vodíková vize 2035,280,734.2,58.2,1098.0,250.0,1,95,72.9,169.0,484.2
2026,Zatec,S06,Vodíková vize 2035,200,549.2,58.2,197.0,31.0,0,14.3,39.5,27.0,86.9
2027,Zatec,S06,Vodíková vize 2035,200,546.5,58.5,322.0,62.0,0,28.4,50.8,53.0,142.0
2028,Zatec,S06,Vodíková vize 2035,200,543.7,58.9,447.0,94.0,0,46.8,62.0,87.0,197.1
2029,Zatec,S06,Vodíková vize 2035,200,541.0,59.3,572.0,125.0,0,69.2,73.5,127.0,252.3
2030,Zatec,S06,Vodíková vize 2035,200,538.2,59.7,697.0,156.0,0,95,85.2,174.0,307.4
2031,Zatec,S06,Vodíková vize 2035,200,535.4,60.0,822.0,188.0,0,95,88,173.0,362.5
2032,Zatec,S06,Vodíková vize 2035,200,532.7,60.4,947.0,219.0,0,95,88,172.0,417.6
2033,Zatec,S06,Vodíková vize 2035,200,529.9,60.8,1072.0,250.0,1,95,88,171.0,472.8
2034,Zatec,S06,Vodíková vize 2035,200,527.2,60.8,1072.0,250.0,1,95,88,170.0,472.8
2035,Zatec,S06,Vodíková vize 2035,200,524.4,60.8,1072.0,250.0,1,95,88,169.0,472.8
2026,Bilina,S06,Vodíková vize 2035,150,411.9,50.2,180.0,31.0,0,18.6,43.4,35.0,79.4
2027,Bilina,S06,Vodíková vize 2035,150,409.9,50.5,305.0,62.0,0,40.0,58.4,74.0,134.5
2028,Bilina,S06,Vodíková vize 2035,150,407.8,50.9,430.0,94.0,0,68.9,73.4,127.0,189.6
2029,Bilina,S06,Vodíková vize 2035,150,405.7,51.3,555.0,125.0,0,95,88,175.0,244.8
2030,Bilina,S06,Vodíková vize 2035,150,403.6,51.7,680.0,156.0,0,95,88,174.0,299.9
2031,Bilina,S06,Vodíková vize 2035,150,401.6,52.0,805.0,188.0,0,95,88,173.0,355.0
2032,Bilina,S06,Vodíková vize 2035,150,399.5,52.4,930.0,219.0,0,95,88,172.0,410.1
2033,Bilina,S06,Vodíková vize 2035,150,397.4,52.8,1055.0,250.0,1,95,88,171.0,465.3
2034,Bilina,S06,Vodíková vize 2035,150,395.4,52.8,1055.0,250.0,1,95,88,170.0,465.3
2035,Bilina,S06,Vodíková vize 2035,150,393.3,52.8,1055.0,250.0,1,95,88,169.0,465.3
2026,Vejprty,S06,Vodíková vize 2035,80,219.7,59.2,157.0,31.0,0,37.3,57.3,70.0,69.2
2027,Vejprty,S06,Vodíková vize 2035,80,218.6,59.5,282.0,62.0,0,94.4,85.6,175.0,124.4
2028,Vejprty,S06,Vodíková vize 2035,80,217.5,59.9,407.0,94.0,0,95,88,176.0,179.5
2029,Vejprty,S06,Vodíková vize 2035,80,216.4,60.3,532.0,125.0,0,95,88,175.0,234.6
2030,Vejprty,S06,Vodíková vize 2035,80,215.3,60.7,657.0,156.0,0,95,88,174.0,289.7
2031,Vejprty,S06,Vodíková vize 2035,80,214.2,61.0,782.0,188.0,0,95,88,173.0,344.9
2032,Vejprty,S06,Vodíková vize 2035,80,213.1,61.4,907.0,219.0,0,95,88,172.0,400.0
2033,Vejprty,S06,Vodíková vize 2035,80,212.0,61.8,1032.0,250.0,1,95,88,171.0,455.1
2034,Vejprty,S06,Vodíková vize 2035,80,210.9,61.8,1032.0,250.0,1,95,88,170.0,455.1
2035,Vejprty,S06,Vodíková vize 2035,80,209.8,61.8,1032.0,250.0,1,95,88,169.0,455.1
2026,Dolni_Jiretin,S06,Vodíková vize 2035,60,164.8,44.2,147.0,31.0,0,52.8,65.7,99.0,64.8
2027,Dolni_Jiretin,S06,Vodíková vize 2035,60,163.9,44.5,272.0,62.0,0,95,88,176.0,120.0
2028,Dolni_Jiretin,S06,Vodíková vize 2035,60,163.1,44.9,397.0,94.0,0,95,88,176.0,175.1
2029,Dolni_Jiretin,S06,Vodíková vize 2035,60,162.3,45.3,522.0,125.0,0,95,88,175.0,230.2
2030,Dolni_Jiretin,S06,Vodíková vize 2035,60,161.5,45.7,647.0,156.0,0,95,88,174.0,285.3
2031,Dolni_Jiretin,S06,Vodíková vize 2035,60,160.6,46.0,772.0,188.0,0,95,88,173.0,340.5
2032,Dolni_Jiretin,S06,Vodíková vize 2035,60,159.8,46.4,897.0,219.0,0,95,88,172.0,395.6
2033,Dolni_Jiretin,S06,Vodíková vize 2035,60,159.0,46.8,1022.0,250.0,1,95,88,171.0,450.7
2034,Dolni_Jiretin,S06,Vodíková vize 2035,60,158.1,46.8,1022.0,250.0,1,95,88,170.0,450.7
2035,Dolni_Jiretin,S06,Vodíková vize 2035,60,157.3,46.8,1022.0,250.0,1,95,88,169.0,450.7
